Starting...
XleadZeroCoefficient: 1.00, XleadPoleCoefficient: 0.41, PX: 0.16, PX: 0.00, PX: 1.00 GainX = 1 GainTheta = 18
48443,0.62,2.00,-1.19,3.24
48453,0.64,2.00,-0.93,11.43
48463,0.65,2.00,-0.30,22.92
48473,0.63,2.00,0.04,13.84
48483,0.64,2.00,0.04,3.09
48493,0.61,2.00,0.30,11.22
48503,0.65,2.00,0.00,-6.70
48514,0.64,2.00,0.96,32.44
48523,0.64,2.00,11.28,327.85
48533,0.65,2.00,1.39,-307.51
48543,0.65,2.00,1.50,6.36
48553,0.64,2.00,1.62,6.67
48563,0.64,2.00,1.73,6.33
48573,0.64,2.00,1.84,6.29
48583,0.65,2.00,1.95,6.24
48593,0.65,2.00,2.06,6.22
48604,0.66,2.00,2.18,6.49
48613,0.65,2.00,2.30,6.49
48623,0.66,2.00,2.41,6.13
48633,0.66,2.00,2.50,5.48
48644,0.64,2.00,2.58,5.17
48653,0.67,2.00,2.67,5.41
48663,0.65,2.00,2.75,5.10
48673,0.66,2.00,2.82,4.75
48684,0.67,2.00,2.86,3.77
48694,0.68,2.00,2.92,4.34
48703,0.67,2.00,2.96,3.72
48713,0.69,2.00,2.99,3.34
48723,0.68,2.00,3.01,3.03
48734,0.67,2.00,3.02,2.71
48743,0.69,2.00,2.99,1.40
48753,0.69,2.00,2.97,1.67
48763,0.69,2.00,2.94,1.35
48774,0.71,2.00,2.88,0.34
48784,0.71,2.00,2.83,0.63
48793,0.71,2.00,2.76,-0.03
48803,0.71,2.00,2.67,-0.67
48814,0.70,2.00,2.60,-0.04
48824,0.71,2.00,2.51,-0.71
48833,0.72,2.00,2.40,-1.40
48843,0.72,2.00,2.28,-1.71
48854,0.73,2.00,2.17,-1.46
48864,0.72,2.00,2.05,-1.77
48874,0.73,2.00,1.92,-2.14
48883,0.71,2.00,1.79,-2.09
48893,0.73,2.00,1.68,-1.54
48904,0.74,2.00,1.57,-1.58
48914,0.74,2.00,1.45,-1.91
48923,0.73,2.00,1.35,-1.29
48933,0.75,2.00,1.24,-1.66
48944,0.75,2.00,1.15,-1.05
48954,0.75,2.00,1.07,-0.75
48964,0.73,2.00,0.98,-1.03
48973,0.76,2.00,0.92,-0.18
48984,0.75,2.00,0.86,-0.17
48994,0.76,2.00,0.82,0.42
49004,0.76,2.00,0.79,0.73
49013,0.76,2.00,0.77,1.02
49024,0.75,2.00,0.77,1.67
49034,0.76,2.00,0.75,1.01
49044,0.77,2.00,0.76,1.93
49054,0.76,2.00,0.78,2.25
49063,0.78,2.00,0.78,1.56
49074,0.78,2.00,0.81,2.51
49084,0.77,2.00,0.85,2.84
49094,0.77,2.00,0.89,2.82
49104,0.76,2.00,0.93,2.84
49114,0.78,2.00,0.97,2.79
49124,0.76,2.00,1.01,2.83
49134,0.78,2.00,1.04,2.48
49144,0.78,2.00,1.08,2.79
