XleadZeroCoefficient: 1.00, XleadPoleCoefficient: 0.41, PX: 0.16, PX: 0.00, PX: 1.00
9035,0.39,2.00,11.15,4.35
9044,0.38,2.00,1.00,-159.17
9055,0.40,2.00,1.11,5.46
9065,0.39,2.00,1.21,5.31
9074,0.39,2.00,1.00,0.36
9084,0.39,2.00,1.10,5.19
9095,0.40,2.00,1.23,5.62
9105,0.40,2.00,1.24,3.69
9115,0.40,2.00,1.21,3.02
9124,0.39,2.00,1.24,3.93
9135,0.38,2.00,1.24,3.44
9145,0.41,2.00,1.24,3.33
9155,0.40,2.00,1.23,3.15
9165,0.40,2.00,1.23,3.26
9175,0.40,2.00,1.23,3.24
9185,0.40,2.00,1.22,3.03
9195,0.41,2.00,1.21,2.98
9205,0.40,2.00,1.21,3.11
9214,0.41,2.00,1.21,3.05
9225,0.41,2.00,1.20,2.87
9235,0.41,2.00,1.19,2.84
9245,0.41,2.00,1.17,2.65
9255,0.40,2.00,1.15,2.63
9265,0.41,2.00,1.12,2.43
9275,0.42,2.00,1.09,2.37
9285,0.42,2.00,1.05,2.18
9295,0.41,2.00,1.01,2.17
9306,0.41,2.00,0.96,1.98
9315,0.41,2.00,0.90,1.80
9325,0.42,2.00,0.84,1.74
9335,0.43,2.00,0.77,1.54
9346,0.42,2.00,0.69,1.38
9355,0.43,2.00,0.60,1.17
9365,0.43,2.00,0.50,1.00
9375,0.41,2.00,0.40,1.01
9385,0.43,2.00,0.29,0.78
9396,0.44,2.00,0.18,0.74
9405,0.44,2.00,0.06,0.56
9415,0.45,2.00,-0.06,0.51
9425,0.44,2.00,-0.20,0.19
9436,0.45,2.00,-0.33,0.30
9445,0.46,2.00,-0.47,0.11
9455,0.46,2.00,-0.60,0.24
9465,0.45,2.00,-0.74,0.09
9476,0.46,2.00,-0.87,0.20
9486,0.43,2.00,-0.99,0.39
9495,0.47,2.00,-1.12,0.12
9505,0.46,2.00,-1.24,0.30
9516,0.46,2.00,-1.35,0.43
9526,0.46,2.00,-1.47,0.25
9536,0.47,2.00,-1.56,0.69
9545,0.46,2.00,-1.65,0.69
9555,0.49,2.00,-1.73,0.77
9566,0.47,2.00,-1.80,0.95
9576,0.48,2.00,-1.87,0.92
9585,0.48,2.00,-1.92,1.21
9595,0.48,2.00,-1.96,1.35
9606,0.49,2.00,-2.01,1.17
9616,0.49,2.00,-2.04,1.46
9626,0.49,2.00,-2.06,1.60
9635,0.48,2.00,-2.07,1.78
9646,0.49,2.00,-2.07,1.89
9656,0.50,2.00,-2.06,2.02
9666,0.50,2.00,-2.05,2.01
9675,0.49,2.00,-2.03,2.17
9686,0.49,2.00,-2.02,2.01
9696,0.49,2.00,-1.99,2.31
9706,0.50,2.00,-1.97,2.12
9716,0.50,2.00,-1.94,2.28
9725,0.50,2.00,-1.91,2.26
9736,0.50,2.00,-1.89,2.11
9746,0.49,2.00,-1.88,1.97
9756,0.49,2.00,-1.85,2.26
9766,0.51,2.00,-1.83,2.05
9776,0.51,2.00,-1.83,1.73
9786,0.52,2.00,-1.83,1.70
9796,0.53,2.00,-1.83,1.68
9806,0.53,2.00,-1.84,1.52
9816,0.53,2.00,-1.85,1.51
9826,0.52,2.00,-1.86,1.52
9836,0.53,2.00,-1.89,1.17
9846,0.54,2.00,-1.93,1.00
9857,0.51,2.00,-1.96,1.21
9866,0.54,2.00,-1.99,1.14
9876,0.51,2.00,-2.04,0.88
9886,0.54,2.00,-2.08,0.96
9896,0.54,2.00,-2.12,0.96
9906,0.54,2.00,-2.17,0.79
9916,0.55,2.00,-2.21,0.92
9926,0.55,2.00,-2.23,1.24
9936,0.54,2.00,-2.27,0.94
9947,0.55,2.00,-2.30,1.07
9956,0.55,2.00,-2.32,1.22
9966,0.56,2.00,-2.32,1.51
9976,0.54,2.00,-2.32,1.55
9987,0.56,2.00,-2.31,1.66
9996,0.56,2.00,-2.29,1.82
10006,0.56,2.00,-2.26,1.98
10016,0.56,2.00,-2.22,2.13
10027,0.56,2.00,-2.17,2.27
10037,0.56,2.00,-2.10,2.59
10046,0.57,2.00,-2.04,2.42
10056,0.56,2.00,-1.95,2.90
10066,0.58,2.00,-1.86,2.87
10077,0.57,2.00,-1.76,3.05
10086,0.58,2.00,-1.66,3.02
10096,0.58,2.00,-1.55,3.17
10106,0.59,2.00,-1.43,3.30
10117,0.58,2.00,-1.32,3.17
10127,0.58,2.00,-1.20,3.33
10136,0.61,2.00,-1.07,3.42
10146,0.59,2.00,-0.96,3.16
10157,0.60,2.00,-0.84,3.29
10167,0.60,2.00,-0.72,3.29
10177,0.61,2.00,-0.63,2.81
10186,0.61,2.00,-0.53,2.95
10196,0.62,2.00,-0.43,2.94
10207,0.62,2.00,-0.35,2.62
10217,0.62,2.00,-0.29,2.31
10226,0.62,2.00,-0.22,2.47
10236,0.62,2.00,-0.16,2.31
10247,0.63,2.00,-0.13,1.83
10257,0.63,2.00,-0.10,1.82
10267,0.64,2.00,-0.07,1.81
10276,0.64,2.00,-0.08,1.18
10287,0.64,2.00,-0.09,1.17
10297,0.65,2.00,-0.10,1.15
10307,0.62,2.00,-0.12,1.06
10316,0.65,2.00,-0.15,0.84
10327,0.66,2.00,-0.18,0.81
10337,0.65,2.00,-0.22,0.68
10347,0.67,2.00,-0.26,0.64
10357,0.67,2.00,-0.31,0.48
10366,0.68,2.00,-0.35,0.62
10377,0.67,2.00,-0.40,0.47
10387,0.67,2.00,-0.45,0.47
10397,0.68,2.00,-0.48,0.78
10406,0.69,2.00,-0.50,0.91
10417,0.69,2.00,-0.53,0.75
10427,0.69,2.00,-0.54,1.06
10437,0.67,2.00,-0.56,0.95
10447,0.70,2.00,-0.56,1.21
10457,0.70,2.00,-0.56,1.21
10467,0.72,2.00,-0.53,1.62
10477,0.72,2.00,-0.50,1.63
10487,0.70,2.00,-0.47,1.69
10498,0.72,2.00,-0.41,2.11
10507,0.73,2.00,-0.36,1.94
10517,0.72,2.00,-0.29,2.27
10527,0.72,2.00,-0.22,2.28
10537,0.74,2.00,-0.13,2.54
10547,0.75,2.00,-0.05,2.37
10557,0.74,2.00,0.03,2.40
10567,0.75,2.00,0.13,2.69
10577,0.76,2.00,0.21,2.36
10587,0.75,2.00,0.30,2.55
10597,0.74,2.00,0.39,2.58
10607,0.74,2.00,0.47,2.43
10617,0.76,2.00,0.55,2.37
10628,0.76,2.00,0.62,2.22
10637,0.77,2.00,0.69,2.21
10647,0.78,2.00,0.75,2.04
10657,0.79,2.00,0.80,1.86
10668,0.78,2.00,0.85,1.88
10677,0.78,2.00,0.88,1.57
10687,0.79,2.00,0.91,1.55
10697,0.80,2.00,0.93,1.37
10707,0.81,2.00,0.94,1.21
10718,0.81,2.00,0.92,0.73
10727,0.79,2.00,0.92,1.11
10737,0.81,2.00,0.90,0.74
10747,0.82,2.00,0.87,0.56
10758,0.82,2.00,0.85,0.72
10768,0.81,2.00,0.81,0.45
10777,0.85,2.00,0.78,0.51
10787,0.84,2.00,0.73,0.22
10798,0.85,2.00,0.69,0.35
10808,0.85,2.00,0.64,0.21
10817,0.85,2.00,0.59,0.19
10827,0.85,2.00,0.56,0.52
10838,0.86,2.00,0.52,0.33
10848,0.85,2.00,0.49,0.54
10858,0.87,2.00,0.46,0.47
10867,0.86,2.00,0.44,0.65
10877,0.88,2.00,0.42,0.62
10888,0.87,2.00,0.41,0.80
10898,0.89,2.00,0.42,1.08
10907,0.89,2.00,0.43,1.08
10917,0.90,2.00,0.44,1.07
10928,0.89,2.00,0.47,1.40
10938,0.91,2.00,0.51,1.51
10948,0.89,2.00,0.55,1.57
10957,0.92,2.00,0.60,1.66
10968,0.91,2.00,0.66,1.85
10978,0.92,2.00,0.72,1.83
10988,0.92,2.00,0.78,1.85
10997,0.92,2.00,0.86,2.17
11008,0.92,2.00,0.92,1.86
11018,0.94,2.00,0.99,1.96
11028,0.94,2.00,1.07,2.13
11038,0.96,2.00,1.14,1.93
11047,0.95,2.00,1.20,1.82
11058,0.94,2.00,1.26,1.83
