masse_A
t,x,y
0.000000000E0,8.427383351E-1,-7.192699387E-1
8.333333333E-3,8.427383351E-1,-7.192699387E-1
1.666666667E-2,8.427383351E-1,-7.192699387E-1
2.500000000E-2,8.427383351E-1,-7.192699387E-1
3.333333333E-2,8.427383351E-1,-7.192699387E-1
4.166666667E-2,8.427383351E-1,-7.192699387E-1
5.000000000E-2,8.427383351E-1,-7.192699387E-1
5.833333333E-2,8.427383351E-1,-7.192699387E-1
6.666666667E-2,8.427383351E-1,-7.192699387E-1
7.500000000E-2,8.427383351E-1,-7.192699387E-1
8.333333333E-2,8.427383351E-1,-7.192699387E-1
9.166666667E-2,8.427383351E-1,-7.192699387E-1
1.000000000E-1,8.427383351E-1,-7.192699387E-1
1.083333333E-1,8.427383351E-1,-7.192699387E-1
1.166666667E-1,8.427383351E-1,-7.192699387E-1
1.250000000E-1,8.427383351E-1,-7.192699387E-1
1.333333333E-1,8.427383351E-1,-7.192699387E-1
1.416666667E-1,8.412181789E-1,-7.192927104E-1
1.500000000E-1,8.406026539E-1,-7.194143785E-1
1.583333333E-1,8.407629193E-1,-7.194325572E-1
1.666666667E-1,8.430309296E-1,-7.190314194E-1
1.750000000E-1,8.405290545E-1,-7.194543939E-1
1.833333333E-1,8.430443505E-1,-7.190858370E-1
1.916666667E-1,8.403997060E-1,-7.195464276E-1
2.000000000E-1,8.425127925E-1,-7.190953094E-1
2.083333333E-1,8.422009864E-1,-7.191816119E-1
2.166666667E-1,8.411562660E-1,-7.194587776E-1
2.250000000E-1,8.427226833E-1,-7.191205271E-1
2.333333333E-1,8.408108394E-1,-7.194697201E-1
2.416666667E-1,8.430106685E-1,-7.190857067E-1
2.500000000E-1,8.424886389E-1,-7.189447032E-1
2.583333333E-1,8.409444002E-1,-7.192159982E-1
2.666666667E-1,8.428141824E-1,-7.189703483E-1
2.750000000E-1,8.407466229E-1,-7.192719315E-1
2.833333333E-1,8.430015365E-1,-7.189973661E-1
2.916666667E-1,8.401910352E-1,-7.194032943E-1
3.000000000E-1,8.397659891E-1,-7.193376703E-1
3.083333333E-1,8.412605695E-1,-7.191445604E-1
3.166666667E-1,8.394486585E-1,-7.193079618E-1
3.250000000E-1,8.414722360E-1,-7.191600351E-1
3.333333333E-1,8.392029214E-1,-7.192938846E-1
3.416666667E-1,8.415655758E-1,-7.191746487E-1
3.500000000E-1,8.390865236E-1,-7.192846830E-1
3.583333333E-1,8.416137374E-1,-7.191829566E-1
3.666666667E-1,8.390282210E-1,-7.192749748E-1
3.750000000E-1,8.416305333E-1,-7.191863200E-1
3.833333333E-1,8.389989347E-1,-7.192733722E-1
3.916666667E-1,8.416399868E-1,-7.191890764E-1
4.000000000E-1,8.389879435E-1,-7.192745842E-1
4.083333333E-1,8.416457462E-1,-7.191918051E-1
4.166666667E-1,8.389846454E-1,-7.192770784E-1
4.250000000E-1,8.413455531E-1,-7.187055511E-1
4.333333333E-1,8.412597007E-1,-7.189786326E-1
4.416666667E-1,8.392530551E-1,-7.191045831E-1
4.500000000E-1,8.415061255E-1,-7.189859126E-1
4.583333333E-1,8.391340019E-1,-7.191782927E-1
4.666666667E-1,8.415956165E-1,-7.189840289E-1
4.750000000E-1,8.392164665E-1,-7.192066963E-1
4.833333333E-1,8.413272970E-1,-7.190037961E-1
4.916666667E-1,8.412754841E-1,-7.190340004E-1
5.000000000E-1,8.391780653E-1,-7.193548851E-1
5.083333333E-1,8.415038719E-1,-7.189891752E-1
5.166666667E-1,8.387907998E-1,-7.185694800E-1
5.250000000E-1,8.382424635E-1,-7.189095920E-1
5.333333333E-1,8.382080710E-1,-7.190780613E-1
5.416666667E-1,8.401117649E-1,-7.186981785E-1
5.500000000E-1,8.379295685E-1,-7.191006180E-1
5.583333333E-1,8.401414514E-1,-7.187947036E-1
5.666666667E-1,8.377458889E-1,-7.191235573E-1
5.750000000E-1,8.401263955E-1,-7.188424314E-1
5.833333333E-1,8.376393819E-1,-7.191350233E-1
5.916666667E-1,8.401118181E-1,-7.188698155E-1
6.000000000E-1,8.375811182E-1,-7.191457081E-1
6.083333333E-1,8.393984871E-1,-7.190013565E-1
6.166666667E-1,8.396627120E-1,-7.190262692E-1
6.250000000E-1,8.378750781E-1,-7.192584440E-1
6.333333333E-1,8.399967028E-1,-7.189701803E-1
6.416666667E-1,8.376740981E-1,-7.192503878E-1
6.500000000E-1,8.392474628E-1,-7.189490988E-1
6.583333333E-1,8.395827608E-1,-7.190023841E-1
6.666666667E-1,8.380190704E-1,-7.192596207E-1
6.750000000E-1,8.399234488E-1,-7.189540758E-1
6.833333333E-1,8.378894109E-1,-7.192493198E-1
6.916666667E-1,8.401245460E-1,-7.189259050E-1
7.000000000E-1,8.378291794E-1,-7.192384552E-1
7.083333333E-1,8.402365249E-1,-7.189101137E-1
7.166666667E-1,8.377959721E-1,-7.192368132E-1
7.250000000E-1,8.402870958E-1,-7.189090858E-1
7.333333333E-1,8.377777480E-1,-7.192340569E-1
7.416666667E-1,8.403125597E-1,-7.189050556E-1
7.500000000E-1,8.377727484E-1,-7.192318730E-1
7.583333333E-1,8.373011860E-1,-7.186636141E-1
7.666666667E-1,8.378647052E-1,-7.187204163E-1
7.750000000E-1,8.368618976E-1,-7.187269665E-1
7.833333333E-1,8.381282611E-1,-7.187542512E-1
7.916666667E-1,8.366008862E-1,-7.188071360E-1
8.000000000E-1,8.382900767E-1,-7.187966859E-1
8.083333333E-1,8.364677262E-1,-7.188683842E-1
8.166666667E-1,8.383761687E-1,-7.188303516E-1
8.250000000E-1,8.364042363E-1,-7.189118827E-1
8.333333333E-1,8.384229786E-1,-7.188564646E-1
8.416666667E-1,8.363730161E-1,-7.189367049E-1
8.500000000E-1,8.384459190E-1,-7.188699067E-1
8.583333333E-1,8.363589218E-1,-7.189525337E-1
8.666666667E-1,8.384579756E-1,-7.188777237E-1
8.750000000E-1,8.363526056E-1,-7.189598796E-1
8.833333333E-1,8.384624151E-1,-7.188812135E-1
8.916666667E-1,8.363494925E-1,-7.189636532E-1
9.000000000E-1,8.384645186E-1,-7.188826856E-1
9.083333333E-1,8.363477924E-1,-7.189646808E-1
9.166666667E-1,8.384655008E-1,-7.188831136E-1
9.250000000E-1,8.363471284E-1,-7.189652548E-1
9.333333333E-1,8.384655008E-1,-7.188831136E-1
9.416666667E-1,8.363471284E-1,-7.189652548E-1
9.500000000E-1,8.384655008E-1,-7.188831136E-1
9.583333333E-1,8.363471284E-1,-7.189652548E-1
9.666666667E-1,8.384655008E-1,-7.188831136E-1
9.750000000E-1,8.363471284E-1,-7.189652548E-1
9.833333333E-1,8.384655008E-1,-7.188831136E-1
9.916666667E-1,8.363471284E-1,-7.189652548E-1
1.000000000E0,8.384655008E-1,-7.188831136E-1
1.008333333E0,8.363471284E-1,-7.189652548E-1
1.016666667E0,8.384655008E-1,-7.188831136E-1
1.025000000E0,8.363471284E-1,-7.189652548E-1
1.033333333E0,8.384655008E-1,-7.188831136E-1
1.041666667E0,8.365425740E-1,-7.187566892E-1
1.050000000E0,8.383182924E-1,-7.188756376E-1
1.058333333E0,8.363831950E-1,-7.187822801E-1
1.066666667E0,8.384015845E-1,-7.188665517E-1
1.075000000E0,8.363283281E-1,-7.188097463E-1
1.083333333E0,8.384424005E-1,-7.188626936E-1
1.091666667E0,8.363103563E-1,-7.188263092E-1
1.100000000E0,8.384624315E-1,-7.188620280E-1
1.108333333E0,8.369085390E-1,-7.188910133E-1
1.116666667E0,8.368918862E-1,-7.190404089E-1
1.125000000E0,8.383275843E-1,-7.187624708E-1
1.133333333E0,8.370046582E-1,-7.193695932E-1
1.141666667E0,8.380679989E-1,-7.190700415E-1
1.150000000E0,8.367343385E-1,-7.192926880E-1
1.158333333E0,8.381417031E-1,-7.189693426E-1
1.166666667E0,8.365946803E-1,-7.192268158E-1
1.175000000E0,8.381670794E-1,-7.189106679E-1
1.183333333E0,8.365260723E-1,-7.191885489E-1
1.191666667E0,8.381749426E-1,-7.188810039E-1
1.200000000E0,8.375510471E-1,-7.190029980E-1
1.208333333E0,8.375347339E-1,-7.188404564E-1
1.216666667E0,8.375751854E-1,-7.186204192E-1
1.225000000E0,8.376894173E-1,-7.183243237E-1
1.233333333E0,8.387032107E-1,-7.179239230E-1
1.241666667E0,8.385741963E-1,-7.178096196E-1
1.250000000E0,8.382568244E-1,-7.190631671E-1
1.258333333E0,8.387981672E-1,-7.179762911E-1
1.266666667E0,8.384696244E-1,-7.189878669E-1
1.275000000E0,8.388113313E-1,-7.176785546E-1
1.283333333E0,8.383868992E-1,-7.191641406E-1
1.291666667E0,8.387924661E-1,-7.175055510E-1
1.300000000E0,8.383259420E-1,-7.192509213E-1
1.308333333E0,8.387666668E-1,-7.174134772E-1
1.316666667E0,8.386286789E-1,-7.188045066E-1
1.325000000E0,8.391227326E-1,-7.178318691E-1
1.333333333E0,8.389736160E-1,-7.182252298E-1
1.341666667E0,8.390833803E-1,-7.185564414E-1
1.350000000E0,8.392350593E-1,-7.182692350E-1
1.358333333E0,8.392726709E-1,-7.188341520E-1
1.366666667E0,8.395083345E-1,-7.179426578E-1
1.375000000E0,8.393200811E-1,-7.190852565E-1
1.383333333E0,8.398529003E-1,-7.178218958E-1
1.391666667E0,8.394956911E-1,-7.191234426E-1
1.400000000E0,8.398940773E-1,-7.175761622E-1
1.408333333E0,8.395753905E-1,-7.190793861E-1
1.416666667E0,8.400644727E-1,-7.176137623E-1
1.425000000E0,8.395129772E-1,-7.192053664E-1
1.433333333E0,8.400582429E-1,-7.174499617E-1
1.441666667E0,8.409860029E-1,-7.181857914E-1
1.450000000E0,8.406810500E-1,-7.191039006E-1
1.458333333E0,8.410608892E-1,-7.178250613E-1
1.466666667E0,8.407719095E-1,-7.192607101E-1
1.475000000E0,8.411881796E-1,-7.175704420E-1
1.483333333E0,8.408316754E-1,-7.193181318E-1
1.491666667E0,8.412517499E-1,-7.174342438E-1
1.500000000E0,8.408670460E-1,-7.193356425E-1
1.508333333E0,8.412932305E-1,-7.173639719E-1
1.516666667E0,8.408891298E-1,-7.193412221E-1
1.525000000E0,8.413179527E-1,-7.173330284E-1
1.533333333E0,8.413367444E-1,-7.176747719E-1
1.541666667E0,8.408454938E-1,-7.195964969E-1
1.550000000E0,8.413443019E-1,-7.175288744E-1
1.558333333E0,8.408802619E-1,-7.194843156E-1
1.566666667E0,8.414070511E-1,-7.175596454E-1
1.575000000E0,8.409526801E-1,-7.193671528E-1
1.583333333E0,8.413898652E-1,-7.174250292E-1
1.591666667E0,8.409381003E-1,-7.193582083E-1
1.600000000E0,8.413742481E-1,-7.173534279E-1
1.608333333E0,8.409323158E-1,-7.193510983E-1
1.616666667E0,8.413652597E-1,-7.173207036E-1
1.625000000E0,8.409288705E-1,-7.193487871E-1
1.633333333E0,8.413603331E-1,-7.173067457E-1
1.641666667E0,8.409264734E-1,-7.193478342E-1
1.650000000E0,8.413572201E-1,-7.173014591E-1
1.658333333E0,8.409246947E-1,-7.193481892E-1
1.666666667E0,8.413542432E-1,-7.172987053E-1
1.675000000E0,8.409239525E-1,-7.193483378E-1
1.683333333E0,8.413523362E-1,-7.172981088E-1
1.691666667E0,8.409235630E-1,-7.193484601E-1
1.700000000E0,8.413513965E-1,-7.172973326E-1
1.708333333E0,8.409231776E-1,-7.193485595E-1
1.716666667E0,8.413504529E-1,-7.172965984E-1
1.725000000E0,8.412547706E-1,-7.192071712E-1
1.733333333E0,8.416057372E-1,-7.174595693E-1
1.741666667E0,8.411649912E-1,-7.193031895E-1
1.750000000E0,8.415117167E-1,-7.173584442E-1
1.758333333E0,8.411140223E-1,-7.193348486E-1
1.766666667E0,8.414489661E-1,-7.173152746E-1
1.775000000E0,8.410818806E-1,-7.193503106E-1
1.783333333E0,8.414081403E-1,-7.172979646E-1
1.791666667E0,8.410630758E-1,-7.193557081E-1
1.800000000E0,8.413837794E-1,-7.172916104E-1
1.808333333E0,8.410527032E-1,-7.193577044E-1
1.816666667E0,8.413703635E-1,-7.172900050E-1
1.825000000E0,8.410478539E-1,-7.193581548E-1
1.833333333E0,8.413638903E-1,-7.172902697E-1
1.841666667E0,8.410451563E-1,-7.193583278E-1
1.850000000E0,8.413618811E-1,-7.172895843E-1
1.858333333E0,8.410443502E-1,-7.193585517E-1
1.866666667E0,8.415294312E-1,-7.177724772E-1
1.875000000E0,8.412192456E-1,-7.192639000E-1
1.883333333E0,8.414997884E-1,-7.175872136E-1
1.891666667E0,8.411551195E-1,-7.193266222E-1
1.900000000E0,8.414720990E-1,-7.174911963E-1
1.908333333E0,8.411181105E-1,-7.193444498E-1
1.916666667E0,8.414490774E-1,-7.174407346E-1
1.925000000E0,8.410979016E-1,-7.193469474E-1
1.933333333E0,8.414349001E-1,-7.174129498E-1
1.941666667E0,8.410866736E-1,-7.193485389E-1
1.950000000E0,8.414284185E-1,-7.173985042E-1
1.958333333E0,8.410798576E-1,-7.193467648E-1
1.966666667E0,8.414249624E-1,-7.173908452E-1
1.975000000E0,8.410778811E-1,-7.193466883E-1
1.983333333E0,8.414242686E-1,-7.173853915E-1
1.991666667E0,8.410769018E-1,-7.193462054E-1
2.000000000E0,8.414242864E-1,-7.173840212E-1
2.008333333E0,8.410769018E-1,-7.193462054E-1
2.016666667E0,8.414242864E-1,-7.173840212E-1
2.025000000E0,8.410769018E-1,-7.193462054E-1
2.033333333E0,8.414242864E-1,-7.173840212E-1
