masse_A
t,x,y
0.000000000E0,8.529149089E-1,-7.215091723E-1
8.333333333E-3,8.529149089E-1,-7.215091723E-1
1.666666667E-2,8.529149089E-1,-7.215091723E-1
2.500000000E-2,8.529149089E-1,-7.215091723E-1
3.333333333E-2,8.529149089E-1,-7.215091723E-1
4.166666667E-2,8.529149089E-1,-7.215091723E-1
5.000000000E-2,8.511753922E-1,-7.213590657E-1
5.833333333E-2,8.512845461E-1,-7.214916023E-1
6.666666667E-2,8.514403058E-1,-7.212827982E-1
7.500000000E-2,8.514442859E-1,-7.212015645E-1
8.333333333E-2,8.515849938E-1,-7.210936433E-1
9.166666667E-2,8.517824423E-1,-7.209607876E-1
1.000000000E-1,8.520157833E-1,-7.208310886E-1
1.083333333E-1,8.516681674E-1,-7.206534928E-1
1.166666667E-1,8.517930470E-1,-7.190785899E-1
1.250000000E-1,8.505376733E-1,-7.205710896E-1
1.333333333E-1,8.506549891E-1,-7.206405966E-1
1.416666667E-1,8.505744935E-1,-7.209266142E-1
1.500000000E-1,8.505190220E-1,-7.205840497E-1
1.583333333E-1,8.504461116E-1,-7.209422840E-1
1.666666667E-1,8.507826341E-1,-7.201669904E-1
1.750000000E-1,8.504770869E-1,-7.208472279E-1
1.833333333E-1,8.508511618E-1,-7.202861096E-1
1.916666667E-1,8.491486469E-1,-7.204586232E-1
2.000000000E-1,8.490993603E-1,-7.211918015E-1
2.083333333E-1,8.492846015E-1,-7.202439271E-1
2.166666667E-1,8.492040206E-1,-7.213359194E-1
2.250000000E-1,8.494358469E-1,-7.202344536E-1
2.333333333E-1,8.494978158E-1,-7.210466557E-1
2.416666667E-1,8.497735418E-1,-7.199996471E-1
2.500000000E-1,8.494686898E-1,-7.214527991E-1
2.583333333E-1,8.497935263E-1,-7.196851415E-1
2.666666667E-1,8.494687437E-1,-7.216164186E-1
2.750000000E-1,8.498101928E-1,-7.194921523E-1
2.833333333E-1,8.494452895E-1,-7.215860786E-1
2.916666667E-1,8.493065869E-1,-7.210801215E-1
