masse_A
t,x,y
1.333555556E-1,4.336258068E-1,-3.801092585E-1
1.998888889E-1,4.341478186E-1,-3.802269696E-1
1.999888889E-1,4.349294449E-1,-3.791997885E-1
2.665222222E-1,4.361880690E-1,-3.783750156E-1
2.666222222E-1,4.346906854E-1,-3.793800033E-1
3.331444444E-1,4.344785297E-1,-3.794541539E-1
3.332444444E-1,4.344930150E-1,-3.792266190E-1
3.997777778E-1,4.349811929E-1,-3.789148021E-1
3.998777778E-1,4.348364801E-1,-3.798304660E-1
4.664000000E-1,4.355971398E-1,-3.786764920E-1
4.665000000E-1,4.351404070E-1,-3.798251354E-1
5.330333333E-1,4.362220159E-1,-3.786316302E-1
5.331333333E-1,4.357185605E-1,-3.793184231E-1
5.996666667E-1,4.354434114E-1,-3.795187705E-1
5.997666667E-1,4.356168568E-1,-3.793530719E-1
6.662888889E-1,4.360678162E-1,-3.790654846E-1
6.663888889E-1,4.354864973E-1,-3.799013365E-1
7.329222222E-1,4.360440919E-1,-3.789835589E-1
7.330222222E-1,4.360787032E-1,-3.798742795E-1
7.995555556E-1,4.366407052E-1,-3.798121318E-1
7.996555556E-1,4.378252611E-1,-3.785693431E-1
8.661777778E-1,4.373878271E-1,-3.792672351E-1
8.662777778E-1,4.369665888E-1,-3.797517000E-1
9.328111111E-1,4.373524060E-1,-3.790575536E-1
9.329111111E-1,4.372203232E-1,-3.798634414E-1
9.994444444E-1,4.381914991E-1,-3.784850456E-1
9.995444444E-1,4.378788678E-1,-3.800680034E-1
1.032755556E0,4.379514144E-1,-3.798575676E-1
1.099377778E0,4.388965971E-1,-3.783656791E-1
1.099477778E0,4.387995166E-1,-3.793970994E-1
1.166011111E0,4.391143281E-1,-3.789099115E-1
1.166111111E0,4.378338876E-1,-3.793233938E-1
1.232644444E0,4.394786359E-1,-3.786995626E-1
1.232744444E0,4.376343517E-1,-3.791694167E-1
1.299266667E0,4.397578746E-1,-3.784599119E-1
1.299366667E0,4.395205790E-1,-3.783865324E-1
1.365900000E0,4.375124090E-1,-3.789583835E-1
1.366000000E0,4.397734521E-1,-3.784658849E-1
1.432533333E0,4.395958411E-1,-3.784429869E-1
1.432633333E0,4.393558545E-1,-3.784558523E-1
1.499155556E0,4.392378287E-1,-3.784125093E-1
1.499255556E0,4.391079670E-1,-3.784527034E-1
1.565788889E0,4.390233699E-1,-3.784156229E-1
1.565888889E0,4.390647939E-1,-3.784446280E-1
1.632422222E0,4.389688426E-1,-3.784498429E-1
1.632522222E0,4.387763952E-1,-3.785986697E-1
1.699044444E0,4.386334462E-1,-3.786203868E-1
1.699144444E0,4.385632889E-1,-3.785580000E-1
