masse_A
t,x,y
6.663333333E-2,7.938445637E-1,4.120331994E-1
6.673333333E-2,7.962781392E-1,4.202468863E-1
1.232555556E-1,7.939006079E-1,4.138256581E-1
1.233555556E-1,7.939244950E-1,4.144331743E-1
1.898888889E-1,7.940302158E-1,4.121995947E-1
1.899888889E-1,7.941098299E-1,4.157663312E-1
2.565222222E-1,7.938917612E-1,4.127220512E-1
2.566222222E-1,7.938148264E-1,4.152175629E-1
3.231444444E-1,7.938939693E-1,4.150322599E-1
3.232444444E-1,7.938431961E-1,4.117564631E-1
3.897777778E-1,7.938167290E-1,4.158139066E-1
3.898777778E-1,7.938098062E-1,4.139581931E-1
4.564000000E-1,7.937573801E-1,4.137635869E-1
4.565000000E-1,7.935628975E-1,4.134835698E-1
5.230333333E-1,7.934011745E-1,4.133508912E-1
5.231333333E-1,7.934505111E-1,4.132083224E-1
5.896666667E-1,7.934144308E-1,4.132022951E-1
5.897666667E-1,7.935633035E-1,4.130617217E-1
6.562888889E-1,7.937038995E-1,4.123115287E-1
6.563888889E-1,7.937208621E-1,4.114715732E-1
7.229222222E-1,7.935849214E-1,4.110747728E-1
7.230222222E-1,7.936251332E-1,4.107835095E-1
7.895555556E-1,7.936427379E-1,4.101065188E-1
7.896555556E-1,7.936939015E-1,4.117442893E-1
8.561777778E-1,7.937202254E-1,4.095212792E-1
8.562777778E-1,7.938383385E-1,4.097458578E-1
9.228111111E-1,7.939238941E-1,4.122707415E-1
9.229111111E-1,7.941820626E-1,4.099143895E-1
9.894444444E-1,7.939185756E-1,4.101655410E-1
9.895444444E-1,7.939252492E-1,4.102487110E-1
1.022755556E0,7.940251698E-1,4.124589261E-1
1.089377778E0,7.944268816E-1,4.099425278E-1
1.089477778E0,7.938911655E-1,4.098900876E-1
1.156011111E0,7.937145273E-1,4.099661378E-1
1.156111111E0,7.936847880E-1,4.100321923E-1
1.222644444E0,7.935271108E-1,4.100471187E-1
1.222744444E0,7.934826466E-1,4.130707458E-1
1.289266667E0,7.935668413E-1,4.096777847E-1
1.289366667E0,7.935577192E-1,4.129840427E-1
1.355900000E0,7.935664102E-1,4.096971015E-1
1.356000000E0,7.936652533E-1,4.141866159E-1
1.422533333E0,7.940265270E-1,4.122744634E-1
1.422633333E0,7.938583703E-1,4.103051386E-1
1.489155556E0,7.939284596E-1,4.123328262E-1
1.489255556E0,7.936782229E-1,4.117659452E-1
1.555788889E0,7.935453403E-1,4.115974342E-1
1.555888889E0,7.937244916E-1,4.113576529E-1
1.622422222E0,7.937843627E-1,4.113444802E-1
1.622522222E0,7.938449156E-1,4.112534419E-1
1.689044444E0,7.936110949E-1,4.110174516E-1
1.689144444E0,7.936220911E-1,4.102804855E-1
1.755677778E0,7.937393034E-1,4.112379882E-1
1.755777778E0,7.938189104E-1,4.113684552E-1
1.822311111E0,7.936780814E-1,4.099254018E-1
1.822411111E0,7.937930942E-1,4.117949110E-1
1.888933333E0,7.936402955E-1,4.092798211E-1
1.889033333E0,7.936095697E-1,4.097894487E-1
1.955566667E0,7.934864068E-1,4.118676183E-1
1.955666667E0,7.932664786E-1,4.101075039E-1
2.022188889E0,7.933018350E-1,4.103512040E-1
2.022288889E0,7.936693247E-1,4.103454521E-1
2.055511111E0,7.936361308E-1,4.103828180E-1
2.122133333E0,7.938490112E-1,4.126815580E-1
2.122233333E0,7.934841468E-1,4.100482749E-1
2.188766667E0,7.934947237E-1,4.098854375E-1
2.188866667E0,7.936118770E-1,4.100319113E-1
2.255400000E0,7.935445508E-1,4.101109406E-1
2.255500000E0,7.935895928E-1,4.130336044E-1
2.322022222E0,7.936025620E-1,4.098737138E-1
2.322122222E0,7.936168215E-1,4.131581315E-1
2.388655556E0,7.937805834E-1,4.105838013E-1
2.388755556E0,7.941033098E-1,4.129103408E-1
2.455288889E0,7.942770783E-1,4.124651041E-1
2.455388889E0,7.940669860E-1,4.120331700E-1
2.521911111E0,7.939256624E-1,4.097758820E-1
2.522011111E0,7.937785442E-1,4.117993114E-1
2.588544444E0,7.935660482E-1,4.114977458E-1
2.588644444E0,7.935897326E-1,4.113112922E-1
2.655166667E0,7.937335283E-1,4.113012322E-1
2.655266667E0,7.937406834E-1,4.111978873E-1
2.721800000E0,7.937532279E-1,4.112260824E-1
2.721900000E0,7.937456619E-1,4.111636160E-1
2.788433333E0,7.937788231E-1,4.100759556E-1
2.788533333E0,7.935583038E-1,4.114188593E-1
2.855055556E0,7.936868878E-1,4.097115036E-1
2.855155556E0,7.937783602E-1,4.119879678E-1
2.921688889E0,7.937414041E-1,4.092227079E-1
2.921788889E0,7.937937513E-1,4.098856108E-1
2.988322222E0,7.937101410E-1,4.118658095E-1
2.988422222E0,7.936641042E-1,4.100962497E-1
3.054944444E0,7.938490427E-1,4.101789028E-1
3.055044444E0,7.938848016E-1,4.101513780E-1
3.088266667E0,7.940493940E-1,4.125749707E-1
3.154888889E0,7.932524002E-1,4.100245458E-1
3.154988889E0,7.938132230E-1,4.098860502E-1
3.221522222E0,7.937197502E-1,4.099047531E-1
3.221622222E0,7.936923906E-1,4.100465606E-1
3.288155556E0,7.936729047E-1,4.128528723E-1
3.288255556E0,7.937242097E-1,4.097293289E-1
3.354777778E0,7.936915465E-1,4.131888266E-1
3.354877778E0,7.937486573E-1,4.106084628E-1
3.421411111E0,7.937865012E-1,4.126685191E-1
3.421511111E0,7.940082085E-1,4.124872392E-1
3.488033333E0,7.939398391E-1,4.120926883E-1
3.488133333E0,7.938472278E-1,4.099023386E-1
3.554666667E0,7.937047240E-1,4.121543642E-1
3.554766667E0,7.935391560E-1,4.117954441E-1
3.621300000E0,7.934448661E-1,4.116084549E-1
3.621400000E0,7.934463097E-1,4.113133213E-1
3.687922222E0,7.937262148E-1,4.110840368E-1
3.688022222E0,7.937192873E-1,4.111593244E-1
3.754555556E0,7.938566812E-1,4.102083197E-1
3.754655556E0,7.938271819E-1,4.112335171E-1
3.821188889E0,7.938476266E-1,4.114106043E-1
3.821288889E0,7.938016632E-1,4.098805699E-1
3.887811111E0,7.938421234E-1,4.121048872E-1
3.887911111E0,7.937150777E-1,4.094213022E-1
3.954444444E0,7.938180003E-1,4.118777563E-1
3.954544444E0,7.938096763E-1,4.096358411E-1
4.021077778E0,7.937490017E-1,4.100716306E-1
4.021177778E0,7.938472749E-1,4.102785479E-1
4.087700000E0,7.940182560E-1,4.123829696E-1
4.087800000E0,7.940447603E-1,4.097505785E-1
4.121022222E0,7.940813393E-1,4.100008084E-1
4.187644444E0,7.939333980E-1,4.098187445E-1
4.187744444E0,7.938776462E-1,4.098358651E-1
4.254277778E0,7.937604566E-1,4.131062546E-1
4.254377778E0,7.938504257E-1,4.094527862E-1
4.320900000E0,7.937575265E-1,4.129461120E-1
4.321000000E0,7.937755568E-1,4.093119757E-1
4.387533333E0,7.937971758E-1,4.131232248E-1
4.387633333E0,7.937019208E-1,4.105902109E-1
4.454166667E0,7.938421403E-1,4.129395200E-1
4.454266667E0,7.937807426E-1,4.124419761E-1
4.520788889E0,7.935397465E-1,4.098922213E-1
4.520888889E0,7.933994900E-1,4.120797454E-1
4.587422222E0,7.932413781E-1,4.117467007E-1
4.587522222E0,7.931243528E-1,4.114569178E-1
4.654055556E0,7.932206864E-1,4.113314666E-1
4.654155556E0,7.933259048E-1,4.112900211E-1
4.720677778E0,7.933949645E-1,4.111284151E-1
4.720777778E0,7.935013155E-1,4.101543886E-1
